block_id,route_id,original_trip_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_605,84,22372,1,MONDELLO (TORRE),841,FE_merged_80006,22372_merged_91127
a_722,TRAM1,13500,0,STAZIONE CENTRALE,TRAM10,FR_merged_80003,13500_merged_83830
b_240,231,4629,0,POMARA,2310,FE_merged_80006,4629_merged_89313
b_358,422,,1,PARCHEGGIO EMIRI,4221,FR_merged_80005,19711
b_523,675,21658,1,STADIO,6751,FE_merged_80006,21658_merged_87274
a_31,101,616,1,STADIO,1011,FR_merged_80003,616_merged_86055
b_569,806,10709,0,MONDELLO,8060,FR_merged_80005,10709_merged_86800
a_15,101,207,0,STAZIONE CENTRALE,1010,FE_merged_80004,207_merged_83989
b_713,TRAM1,,1,ROCCELLA,TRAM11,FE_merged_80006,13196
a_220,226,17425,1,VIALE DEI PICCIOTTI,2261,FE_merged_80004,17425_merged_84321
b_30,101,605,0,STAZIONE CENTRALE,1010,FR_merged_80005,605_merged_89258
a_760,TRAM4,14604,0,CALATAFIMI,TRAM40,FE_merged_80004,14604_merged_86602
a_141,109,,1,PARCHEGGIO BASILE,1091,FR_merged_80003,16075
a_570,806,10760,0,MONDELLO,8060,FR_merged_80003,10760_merged_80296
a_27,101,526,1,STADIO,1011,FR_merged_80003,526_merged_85573
b_762,TRAM4,14601,0,CALATAFIMI,TRAM40,FR_merged_80005,14601_merged_93369
a_307,307,5985,0,BORGO NUOVO,3070,FE_merged_80004,5985_merged_80024
b_352,389,,1,ROCCA - MONREALE,3891,FE_merged_80006,6797
b_501,628,9305,1,SFERRACAVALLO,6281,FR_merged_80005,9305_merged_88284
b_341,364,6546,0,AQUINO,3640,FR_merged_80005,6546_merged_91841
b_548,731,10269,0,CROCI,7310,FR_merged_80005,10269_merged_89547
a_221,226,4295,0,POMARA,2260,FR_merged_80003,4295_merged_82161
a_372,462,7188,0,BAIDA,4620,FR_merged_80003,7188_merged_80065
b_591,812,11249,0,MONTEPELLEGRINO,8120,FE_merged_80006,11249_merged_87366
b_525,675,9792,0,OSPEDALE CERVELLO,6750,FR_merged_80005,9792_merged_88424
a_352,389,,1,ROCCA - MONREALE,3891,FE_merged_80004,6799
a_605,84,22434,1,MONDELLO (TORRE),841,FE_merged_80004,22434_merged_84731
b_647,ARANC,23245,1,PORTA FELICE,ARANC1,FR_merged_80005,23245_merged_87235
a_281,243,18451,1,STAZIONE CENTRALE,2431,FE_merged_80004,18451_merged_85158
a_317,309,6134,0,ROCCA,3090,FE_merged_80004,6134_merged_82062
b_534,704,9995,0,POLITEAMA,7040,FR_merged_80005,9995_merged_92230
a_713,TRAM1,13223,0,STAZIONE CENTRALE,TRAM10,FE_merged_80004,13223_merged_85764
b_471,619,8716,0,S. FILIPPO NERI,6190,FE_merged_80006,8716_merged_86986
b_197,212,3866,0,CROCEVERDE,2120,FE_merged_80006,3866_merged_92588
b_770,224P,4083,1,VILLABATE,224P1,FR_merged_80005,4083_merged_89111
b_618,85,,1,PARCHEGGIO GALATEA,851,FR_merged_80005,22668
b_26,101,499,1,STADIO,1011,FR_merged_80005,499_merged_87731
b_720,TRAM1,13397,1,ROCCELLA,TRAM11,FR_merged_80005,13397_merged_89801
a_139,109,2685,0,STAZIONE CENTRALE,1090,FE_merged_80004,2685_merged_80051
b_433,606,8189,0,MONDELLO,6060,FR_merged_80005,8189_merged_89885
b_168,124,3272,0,POLITEAMA,1240,FE_merged_80006,3272_merged_87356
b_396,534,7662,0,BAIDA,5340,FR_merged_80005,7662_merged_86953
a_21,101,375,1,STADIO,1011,FR_merged_80003,375_merged_81818
b_91,104,1967,0,VIA D. DELLA VERDURA,1040,FR_merged_80005,1967_merged_92050
a_371,462,,1,PARCHEGGIO EMIRI,4621,FR_merged_80003,19973
a_371,462,,1,PARCHEGGIO EMIRI,4621,FR_merged_80003,19972
a_371,462,,1,PARCHEGGIO EMIRI,4621,FR_merged_80003,19971
a_371,462,,1,PARCHEGGIO EMIRI,4621,FR_merged_80003,19970
a_372,462,,1,PARCHEGGIO EMIRI,4621,FR_merged_80003,19977
a_371,462,,1,PARCHEGGIO EMIRI,4621,FR_merged_80003,19976
a_371,462,,1,PARCHEGGIO EMIRI,4621,FR_merged_80003,19975
a_371,462,,1,PARCHEGGIO EMIRI,4621,FR_merged_80003,19974
a_372,462,,1,PARCHEGGIO EMIRI,4621,FR_merged_80003,19979
a_372,462,,1,PARCHEGGIO EMIRI,4621,FR_merged_80003,19978
a_443,614,8369,0,PARTANNA - MONDELLO,6140,FE_merged_80004,8369_merged_84970
a_660,EXPR,12701,0,INDIPENDENZA,EXPR0,FE_merged_80004,12701_merged_85113
b_267,237,5050,0,STAZIONE CENTRALE,2370,FR_merged_80005,5050_merged_87053
a_607,84,,1,MONDELLO (TORRE),841,FR_merged_80003,22485
a_607,84,,1,MONDELLO (TORRE),841,FR_merged_80003,22484
a_607,84,,1,MONDELLO (TORRE),841,FR_merged_80003,22487
a_607,84,,1,MONDELLO (TORRE),841,FR_merged_80003,22486
a_607,84,,1,MONDELLO (TORRE),841,FR_merged_80003,22481
a_607,84,,1,MONDELLO (TORRE),841,FR_merged_80003,22480
a_607,84,,1,MONDELLO (TORRE),841,FR_merged_80003,22483
a_607,84,,1,MONDELLO (TORRE),841,FR_merged_80003,22482
a_65,102,14920,1,STAZ. NOTARBARTOLO,1021,FE_merged_80004,14920_merged_86484
b_483,625,8914,0,BORGO NUOVO,6250,FE_merged_80006,8914_merged_86947
a_567,806,10691,0,MONDELLO,8060,FR_merged_80003,10691_merged_83871
a_640,ARANC,12341,0,INDIPENDENZA,ARANC0,FE_merged_80004,12341_merged_86121
a_607,84,,1,MONDELLO (TORRE),841,FR_merged_80003,22489
a_607,84,,1,MONDELLO (TORRE),841,FR_merged_80003,22488
b_626,87,,0,PARTANNA MONDELLO,870,FR_merged_80005,12013
a_648,ARANC,12473,0,INDIPENDENZA,ARANC0,FR_merged_80003,12473_merged_83943
b_208,224,,0,STAZIONE CENTRALE,2240,FE_merged_80006,17259
a_671,N11_merged_80001,23775,1,CASA DEL  SOLE,N111,FE_merged_80004,23775_merged_81203
b_714,TRAM1,13238,0,STAZIONE CENTRALE,TRAM10,FE_merged_80006,13238_merged_89221
b_303,304,,1,INDIPENDENZA,3041,FR_merged_80005,18845
b_485,625,8958,0,BORGO NUOVO,6250,FR_merged_80005,8958_merged_89753
a_292,246,18645,1,OSPEDALE CIVICO,2461,FE_merged_80004,18645_merged_81176
b_463,616,,1,STADIO,6161,FR_merged_80005,21144
a_485,625,8972,0,BORGO NUOVO,6250,FR_merged_80003,8972_merged_84810
a_387,529,7478,0,OSPEDALE CERVELLO,5290,FR_merged_80003,7478_merged_86641
a_139,109,16040,1,PARCHEGGIO BASILE,1091,FE_merged_80004,16040_merged_86657
b_251,234,4799,0,STAZIONE CENTRALE,2340,FR_merged_80005,4799_merged_90874
b_268,237,18116,1,PARCHEGGIO ORETO,2371,FR_merged_80005,18116_merged_91615
b_251,234,4797,0,STAZIONE CENTRALE,2340,FR_merged_80005,4797_merged_90878
b_101,106,,1,PARCHEGGIO EMIRI,1061,FE_merged_80006,15480
b_431,606,8145,0,MONDELLO,6060,FE_merged_80006,8145_merged_92214
b_13,101,147,0,STAZIONE CENTRALE,1010,FE_merged_80006,147_merged_90612
b_632,88,12133,0,PUNTA MATESE,880,FE_merged_80006,12133_merged_92018
a_208,224,4051,1,POMARA,2241,FE_merged_80004,4051_merged_84530
a_130,108,2539,0,POLITEAMA,1080,FR_merged_80003,2539_merged_80513
b_151,110,2964,0,INDIPENDENZA,1100,FR_merged_80005,2964_merged_89555
a_568,806,,0,MONDELLO,8060,FR_merged_80003,10706
a_251,234,17880,1,VIA ORETO,2341,FR_merged_80003,17880_merged_85669
a_30,101,602,0,STAZIONE CENTRALE,1010,FR_merged_80003,602_merged_82502
b_441,614,,0,PARTANNA - MONDELLO,6140,FE_merged_80006,8323
b_31,101,613,1,STADIO,1011,FR_merged_80005,613_merged_92817
b_672,N11_merged_80002,12939,0,VIA SARULLO,N110,FE_merged_80006,12939_merged_88872
a_342,364,6562,0,AQUINO,3640,FR_merged_80003,6562_merged_85333
b_662,EXPR,23529,1,PARCHEGGIO BASILE,EXPR1,FR_merged_80005,23529_merged_93390
a_669,N11_merged_80001,12936,0,VIA SARULLO,N110,FE_merged_80004,12936_merged_82106
b_434,606,8193,0,MONDELLO,6060,FR_merged_80005,8193_merged_93434
a_561,806,10530,1,POLITEAMA,8061,FE_merged_80004,10530_merged_80645
a_91,104,1969,0,VIA D. DELLA VERDURA,1040,FR_merged_80003,1969_merged_85283
b_309,307,6025,0,BORGO NUOVO,3070,FR_merged_80005,6025_merged_90921
b_265,237,18042,1,PARCHEGGIO ORETO,2371,FE_merged_80006,18042_merged_90058
b_753,TRAM3,14342,1,CEP,TRAM31,FR_merged_80005,14342_merged_86970
a_25,101,476,0,STAZIONE CENTRALE,1010,FR_merged_80003,476_merged_81696
b_19,101,326,0,STAZIONE CENTRALE,1010,FR_merged_80005,326_merged_91646
b_285,243,5479,0,BONAGIA,2430,FR_merged_80005,5479_merged_88786
b_644,ARANC,23203,1,PORTA FELICE,ARANC1,FR_merged_80005,23203_merged_87722
a_70,102,1579,0,STAZIONE CENTRALE,1020,FR_merged_80003,1579_merged_83438
b_81,103,1786,0,PORTA FELICE,1030,FR_merged_80005,1786_merged_93018
b_623,87,,0,PARTANNA MONDELLO,870,FE_merged_80006,11937
a_602,812,11464,0,MONTEPELLEGRINO,8120,FR_merged_80003,11464_merged_84007
a_639,ARANC,23184,1,PORTA FELICE,ARANC1,FE_merged_80004,23184_merged_81587
b_423,603,8036,0,MONDELLO,6030,FR_merged_80005,8036_merged_87085
b_307,307,,0,BORGO NUOVO,3070,FE_merged_80006,5981
b_139,109,2695,0,STAZIONE CENTRALE,1090,FE_merged_80006,2695_merged_90275
a_422,603,8037,0,MONDELLO,6030,FR_merged_80003,8037_merged_80321
b_190,210,3739,0,VIALE DEI PICCIOTTI,2100,FE_merged_80006,3739_merged_89626
b_295,246,5684,0,STAZIONE CENTRALE,2460,FR_merged_80005,5684_merged_89492
a_625,87,,1,MONDELLO (TORRE),871,FR_merged_80003,22874
a_625,87,,1,MONDELLO (TORRE),871,FR_merged_80003,22875
a_240,231,4622,0,POMARA,2310,FE_merged_80004,4622_merged_80142
a_625,87,,1,MONDELLO (TORRE),871,FR_merged_80003,22877
a_625,87,,1,MONDELLO (TORRE),871,FR_merged_80003,22870
a_625,87,,1,MONDELLO (TORRE),871,FR_merged_80003,22871
a_625,87,,1,MONDELLO (TORRE),871,FR_merged_80003,22872
a_625,87,,1,MONDELLO (TORRE),871,FR_merged_80003,22873
a_762,TRAM4,,1,STAZ. NOTARBARTOLO,TRAM41,FR_merged_80003,24083
a_762,TRAM4,,1,STAZ. NOTARBARTOLO,TRAM41,FR_merged_80003,24082
a_762,TRAM4,,1,STAZ. NOTARBARTOLO,TRAM41,FR_merged_80003,24081
a_762,TRAM4,,1,STAZ. NOTARBARTOLO,TRAM41,FR_merged_80003,24080
a_625,87,,1,MONDELLO (TORRE),871,FR_merged_80003,22878
a_625,87,,1,MONDELLO (TORRE),871,FR_merged_80003,22879
a_762,TRAM4,,1,STAZ. NOTARBARTOLO,TRAM41,FR_merged_80003,24085
a_762,TRAM4,,1,STAZ. NOTARBARTOLO,TRAM41,FR_merged_80003,24084
b_560,806,10484,0,MONDELLO,8060,FE_merged_80006,10484_merged_92994
a_348,380,6690,0,MOLARA,3800,FR_merged_80003,6690_merged_85503
a_499,628,9272,0,STADIO,6280,FR_merged_80003,9272_merged_86562
b_64,102,1468,0,STAZIONE CENTRALE,1020,FE_merged_80006,1468_merged_87839
a_139,109,2700,0,STAZIONE CENTRALE,1090,FE_merged_80004,2700_merged_80633
a_197,212,3865,0,CROCEVERDE,2120,FE_merged_80004,3865_merged_85826
b_14,101,191,1,STADIO,1011,FE_merged_80006,191_merged_87661
a_138,109,2668,0,STAZIONE CENTRALE,1090,FE_merged_80004,2668_merged_84152
b_266,237,5026,0,STAZIONE CENTRALE,2370,FR_merged_80005,5026_merged_91323
a_282,243,5425,0,BONAGIA,2430,FE_merged_80004,5425_merged_85058
b_642,ARANC,,1,PORTA FELICE,ARANC1,FE_merged_80006,23160
a_266,237,18093,1,PARCHEGGIO ORETO,2371,FR_merged_80003,18093_merged_80311
a_65,102,14927,1,STAZ. NOTARBARTOLO,1021,FE_merged_80004,14927_merged_86477
a_604,84,11510,0,VALDESI,840,FE_merged_80004,11510_merged_82752
b_309,307,6013,1,PARCHEGGIO BASILE,3071,FR_merged_80005,6013_merged_90011
b_129,108,15846,1,OSPEDALE CIVICO,1081,FR_merged_80005,15846_merged_90416
a_169,124,3298,0,POLITEAMA,1240,FR_merged_80003,3298_merged_82030
a_761,TRAM4,,0,CALATAFIMI,TRAM40,FR_merged_80003,14624
a_761,TRAM4,,0,CALATAFIMI,TRAM40,FR_merged_80003,14625
a_761,TRAM4,,0,CALATAFIMI,TRAM40,FR_merged_80003,14626
a_761,TRAM4,,0,CALATAFIMI,TRAM40,FR_merged_80003,14627
b_762,TRAM4,,0,CALATAFIMI,TRAM40,FR_merged_80005,14620
a_761,TRAM4,,0,CALATAFIMI,TRAM40,FR_merged_80003,14622
a_761,TRAM4,,0,CALATAFIMI,TRAM40,FR_merged_80003,14623
a_639,ARANC,12322,0,INDIPENDENZA,ARANC0,FE_merged_80004,12322_merged_85905
a_761,TRAM4,,0,CALATAFIMI,TRAM40,FR_merged_80003,14628
a_761,TRAM4,,0,CALATAFIMI,TRAM40,FR_merged_80003,14629
a_608,84,11608,0,VALDESI,840,FR_merged_80003,11608_merged_81642
b_761,TRAM4,23957,1,STAZ. NOTARBARTOLO,TRAM41,FR_merged_80005,23957_merged_91393
b_32,101,650,1,STADIO,1011,FR_merged_80005,650_merged_87837
b_228,230,4447,0,VILLACIAMBRA,2300,FE_merged_80006,4447_merged_86771
a_114,107,2320,0,STADIO,1070,FE_merged_80004,2320_merged_86664
a_318,309,19147,1,PARCHEGGIO BASILE,3091,FE_merged_80004,19147_merged_85231
a_90,104,15344,1,PARCHEGGIO BASILE,1041,FR_merged_80003,15344_merged_81210
b_266,237,5042,0,STAZIONE CENTRALE,2370,FR_merged_80005,5042_merged_89244
a_570,806,10761,1,POLITEAMA,8061,FR_merged_80003,10761_merged_80295
b_566,806,10647,1,POLITEAMA,8061,FR_merged_80005,10647_merged_93512
a_632,88,12166,0,PUNTA MATESE,880,FE_merged_80004,12166_merged_81282
b_751,TRAM3,14299,0,STAZ. NOTARBARTOLO,TRAM30,FE_merged_80006,14299_merged_93248
a_433,606,8193,0,MONDELLO,6060,FR_merged_80003,8193_merged_86671
b_140,109,2722,0,STAZIONE CENTRALE,1090,FR_merged_80005,2722_merged_90854
b_744,TRAM2,14070,0,STAZ. NOTARBARTOLO,TRAM20,FR_merged_80005,14070_merged_92303
a_719,TRAM1,13388,1,ROCCELLA,TRAM11,FR_merged_80003,13388_merged_81367
b_606,84,22396,1,MONDELLO (TORRE),841,FR_merged_80005,22396_merged_90324
a_602,812,11469,1,PORTO,8121,FR_merged_80003,11469_merged_84014
a_688,N12,,0,ROCCAZZO,N120,FE_merged_80004,13058
a_688,N12,,0,ROCCAZZO,N120,FE_merged_80004,13059
b_446,614,8386,0,PARTANNA - MONDELLO,6140,FR_merged_80005,8386_merged_91969
a_701,N21,13126,0,BRANCACCIO,N210,FE_merged_80004,13126_merged_84187
a_191,210,3766,0,VIALE DEI PICCIOTTI,2100,FR_merged_80003,3766_merged_86676
a_687,N12,,0,ROCCAZZO,N120,FE_merged_80004,13053
a_646,ARANC,,1,PORTA FELICE,ARANC1,FR_merged_80003,23301
a_687,N12,,0,ROCCAZZO,N120,FE_merged_80004,13056
b_719,TRAM1,13364,1,ROCCELLA,TRAM11,FR_merged_80005,13364_merged_88262
a_687,N12,,0,ROCCAZZO,N120,FE_merged_80004,13054
a_687,N12,,0,ROCCAZZO,N120,FE_merged_80004,13055
a_295,246,,1,OSPEDALE CIVICO,2461,FR_merged_80003,18703
a_295,246,,1,OSPEDALE CIVICO,2461,FR_merged_80003,18702
a_295,246,,1,OSPEDALE CIVICO,2461,FR_merged_80003,18701
a_295,246,,1,OSPEDALE CIVICO,2461,FR_merged_80003,18700
a_295,246,,1,OSPEDALE CIVICO,2461,FR_merged_80003,18707
a_295,246,,1,OSPEDALE CIVICO,2461,FR_merged_80003,18706
a_295,246,,1,OSPEDALE CIVICO,2461,FR_merged_80003,18705
a_295,246,,1,OSPEDALE CIVICO,2461,FR_merged_80003,18704
b_618,85,11848,0,VALDESI,850,FR_merged_80005,11848_merged_91361
a_160,118,3142,0,STAZ. NOTARBARTOLO,1180,FR_merged_80003,3142_merged_86378
a_295,246,,1,OSPEDALE CIVICO,2461,FR_merged_80003,18709
a_295,246,,1,OSPEDALE CIVICO,2461,FR_merged_80003,18708
a_222,226,4306,0,POMARA,2260,FR_merged_80003,4306_merged_86161
a_500,628,9288,0,STADIO,6280,FR_merged_80003,9288_merged_83645
a_268,237,5083,0,STAZIONE CENTRALE,2370,FR_merged_80003,5083_merged_82570
a_790,628P,9346,1,ISOLA DELLE FEMMINE,628P1,FR_merged_80003,9346_merged_85175
a_293,246,5644,0,STAZIONE CENTRALE,2460,FE_merged_80004,5644_merged_84219
a_282,243,18466,1,STAZIONE CENTRALE,2431,FE_merged_80004,18466_merged_81647
b_250,234,,1,VIA ORETO,2341,FE_merged_80006,17829
b_229,230,4465,0,VILLACIAMBRA,2300,FE_merged_80006,4465_merged_88201
b_250,234,,1,VIA ORETO,2341,FE_merged_80006,17827
b_250,234,,1,VIA ORETO,2341,FE_merged_80006,17826
b_250,234,,1,VIA ORETO,2341,FE_merged_80006,17825
a_1,100,1,0,TOMMASO NATALE,1000,FR_merged_80003,1_merged_85609
b_250,234,,1,VIA ORETO,2341,FE_merged_80006,17823
b_249,234,,1,VIA ORETO,2341,FE_merged_80006,17822
b_249,234,,1,VIA ORETO,2341,FE_merged_80006,17821
a_530,704,21903,1,PARCHEGGIO FRANCIA,7041,FE_merged_80004,21903_merged_83120
a_265,237,5018,0,STAZIONE CENTRALE,2370,FE_merged_80004,5018_merged_80805
a_388,529,,1,JOHN LENNON,5291,FR_merged_80003,20259
b_572,806,10790,0,MONDELLO,8060,FR_merged_80005,10790_merged_89329
b_265,237,,1,PARCHEGGIO ORETO,2371,FE_merged_80006,18035
a_388,529,,1,JOHN LENNON,5291,FR_merged_80003,20252
a_388,529,,1,JOHN LENNON,5291,FR_merged_80003,20253
a_387,529,,1,JOHN LENNON,5291,FR_merged_80003,20250
a_388,529,,1,JOHN LENNON,5291,FR_merged_80003,20251
a_388,529,,1,JOHN LENNON,5291,FR_merged_80003,20256
a_388,529,,1,JOHN LENNON,5291,FR_merged_80003,20257
a_388,529,,1,JOHN LENNON,5291,FR_merged_80003,20254
a_388,529,,1,JOHN LENNON,5291,FR_merged_80003,20255
b_752,TRAM3,14317,1,CEP,TRAM31,FR_merged_80005,14317_merged_90964
a_633,88,12171,0,PUNTA MATESE,880,FR_merged_80003,12171_merged_84791
b_342,364,19483,1,PARCHEGGIO BASILE,3641,FR_merged_80005,19483_merged_87510
a_295,246,5689,0,STAZIONE CENTRALE,2460,FR_merged_80003,5689_merged_83134
a_646,ARANC,,1,PORTA FELICE,ARANC1,FR_merged_80003,23303
b_141,109,2728,0,STAZIONE CENTRALE,1090,FR_merged_80005,2728_merged_90923
a_743,TRAM2,14059,0,STAZ. NOTARBARTOLO,TRAM20,FR_merged_80003,14059_merged_85745
a_282,243,18467,1,STAZIONE CENTRALE,2431,FE_merged_80004,18467_merged_81648
a_632,88,12157,0,PUNTA MATESE,880,FE_merged_80004,12157_merged_85010
b_70,102,1586,0,STAZIONE CENTRALE,1020,FR_merged_80005,1586_merged_87455
a_90,104,1955,0,VIA D. DELLA VERDURA,1040,FR_merged_80003,1955_merged_82214
b_30,101,600,1,STADIO,1011,FR_merged_80005,600_merged_89263
b_318,309,,1,PARCHEGGIO BASILE,3091,FE_merged_80006,19113
a_264,237,4977,0,STAZIONE CENTRALE,2370,FE_merged_80004,4977_merged_80566
a_633,88,,1,PUNTA BARCARELLO,881,FR_merged_80003,23059
a_633,88,,1,PUNTA BARCARELLO,881,FR_merged_80003,23058
b_379,513,20057,1,JOHN LENNON,5131,FR_merged_80005,20057_merged_89018
b_434,606,20802,1,STADIO,6061,FR_merged_80005,20802_merged_87901
a_633,88,,1,PUNTA BARCARELLO,881,FR_merged_80003,23055
a_633,88,,1,PUNTA BARCARELLO,881,FR_merged_80003,23054
a_633,88,,1,PUNTA BARCARELLO,881,FR_merged_80003,23057
a_633,88,,1,PUNTA BARCARELLO,881,FR_merged_80003,23056
a_633,88,,1,PUNTA BARCARELLO,881,FR_merged_80003,23051
a_633,88,,1,PUNTA BARCARELLO,881,FR_merged_80003,23050
a_633,88,,1,PUNTA BARCARELLO,881,FR_merged_80003,23053
a_633,88,,1,PUNTA BARCARELLO,881,FR_merged_80003,23052
a_701,N21,23924,1,STAZIONE CENTRALE,N211,FE_merged_80004,23924_merged_80369
b_632,88,,1,PUNTA BARCARELLO,881,FE_merged_80006,22958
a_126,108,15856,1,OSPEDALE CIVICO,1081,FE_merged_80004,15856_merged_80435
b_151,110,2959,0,INDIPENDENZA,1100,FR_merged_80005,2959_merged_92691
a_292,246,18642,1,OSPEDALE CIVICO,2461,FE_merged_80004,18642_merged_81177
b_28,101,543,1,STADIO,1011,FR_merged_80005,543_merged_92076
a_129,108,2535,0,POLITEAMA,1080,FR_merged_80003,2535_merged_80520
a_320,309,6187,0,ROCCA,3090,FR_merged_80003,6187_merged_80387
a_18,101,308,1,STADIO,1011,FR_merged_80003,308_merged_84612
b_598,812,11380,0,MONTEPELLEGRINO,8120,FR_merged_80005,11380_merged_88468
b_186,209,,1,PARCHEGGIO ORETO,2091,FR_merged_80005,16880
b_191,210,3755,0,VIALE DEI PICCIOTTI,2100,FR_merged_80005,3755_merged_90361
a_742,TRAM2,14034,0,STAZ. NOTARBARTOLO,TRAM20,FE_merged_80004,14034_merged_86020
b_252,234,17860,1,VIA ORETO,2341,FR_merged_80005,17860_merged_93166
b_482,625,8901,0,BORGO NUOVO,6250,FE_merged_80006,8901_merged_87707
b_201,212,17163,1,VIALE DEI PICCIOTTI,2121,FR_merged_80005,17163_merged_87289
b_307,307,5984,0,BORGO NUOVO,3070,FE_merged_80006,5984_merged_86786
a_470,619,21298,1,STADIO,6191,FE_merged_80004,21298_merged_80308
a_190,210,3745,0,VIALE DEI PICCIOTTI,2100,FE_merged_80004,3745_merged_80137
a_633,88,12184,0,PUNTA MATESE,880,FR_merged_80003,12184_merged_82850
b_356,422,6892,0,BORGO NUOVO,4220,FE_merged_80006,6892_merged_92809
a_719,TRAM1,13400,1,ROCCELLA,TRAM11,FR_merged_80003,13400_merged_82312
b_499,628,9253,1,SFERRACAVALLO,6281,FR_merged_80005,9253_merged_87017
b_632,88,12134,0,PUNTA MATESE,880,FE_merged_80006,12134_merged_92023
a_547,731,10262,0,CROCI,7310,FE_merged_80004,10262_merged_82778
a_332,327,6359,0,INDIPENDENZA,3270,FE_merged_80004,6359_merged_81982
b_632,88,,1,PUNTA BARCARELLO,881,FE_merged_80006,22956
a_646,ARANC,,1,PORTA FELICE,ARANC1,FR_merged_80003,23304
b_158,118,,1,PARCHEGGIO BASILE,1181,FE_merged_80006,16392
a_632,88,12159,0,PUNTA MATESE,880,FE_merged_80004,12159_merged_85007
b_89,104,,1,PARCHEGGIO BASILE,1041,FE_merged_80006,15288
a_420,603,,0,MONDELLO,6030,FE_merged_80004,8018
a_623,87,11960,0,PARTANNA MONDELLO,870,FE_merged_80004,11960_merged_85431
a_19,101,324,0,STAZIONE CENTRALE,1010,FR_merged_80003,324_merged_84885
a_458,616,,0,BARCARELLO,6160,FE_merged_80004,8547
b_89,104,,1,PARCHEGGIO BASILE,1041,FE_merged_80006,15286
b_88,104,,1,PARCHEGGIO BASILE,1041,FE_merged_80006,15281
b_88,104,,1,PARCHEGGIO BASILE,1041,FE_merged_80006,15280
b_88,104,,1,PARCHEGGIO BASILE,1041,FE_merged_80006,15283
b_497,628,9207,0,STADIO,6280,FE_merged_80006,9207_merged_91662
b_743,TRAM2,14026,1,BORGO NUOVO,TRAM21,FR_merged_80005,14026_merged_89417
b_646,ARANC,23232,1,PORTA FELICE,ARANC1,FR_merged_80005,23232_merged_90701
b_386,529,,1,JOHN LENNON,5291,FE_merged_80006,7454
a_82,103,1810,0,PORTA FELICE,1030,FR_merged_80003,1810_merged_81995
a_590,812,11260,0,MONTEPELLEGRINO,8120,FE_merged_80004,11260_merged_80868
a_385,529,,0,OSPEDALE CERVELLO,5290,FE_merged_80004,7453
b_186,209,,1,PARCHEGGIO ORETO,2091,FR_merged_80005,16886
b_447,614,8393,0,PARTANNA - MONDELLO,6140,FR_merged_80005,8393_merged_88454
a_19,101,322,0,STAZIONE CENTRALE,1010,FR_merged_80003,322_merged_84879
b_460,616,8558,0,BARCARELLO,6160,FR_merged_80005,8558_merged_93487
b_590,812,,0,MONTEPELLEGRINO,8120,FE_merged_80006,11244
b_268,237,5079,0,STAZIONE CENTRALE,2370,FR_merged_80005,5079_merged_89913
a_472,619,8736,0,S. FILIPPO NERI,6190,FR_merged_80003,8736_merged_80455
a_199,212,3906,0,CROCEVERDE,2120,FR_merged_80003,3906_merged_83967
b_691,N12,13045,0,ROCCAZZO,N120,FR_merged_80005,13045_merged_90053
b_640,ARANC,,1,PORTA FELICE,ARANC1,FE_merged_80006,23127
