block_id,route_id,original_trip_id,direction_id,trip_headsign,shape_id,service_id,trip_id
a_568,806,10704,0,MONDELLO,8060,FR_merged_80003,10704_merged_80047
a_190,210,17016,1,PARCHEGGIO ORETO,2101,FE_merged_80004,17016_merged_83145
b_186,209,,0,FALSOMIELE,2090,FR_merged_80005,3625
a_713,TRAM1,13246,1,ROCCELLA,TRAM11,FE_merged_80004,13246_merged_85554
a_598,812,11388,0,MONTEPELLEGRINO,8120,FR_merged_80003,11388_merged_81711
b_346,380,,1,PARCHEGGIO BASILE,3801,FE_merged_80006,19557
a_65,102,1499,0,STAZIONE CENTRALE,1020,FE_merged_80004,1499_merged_85568
b_601,812,,1,PORTO,8121,FE_merged_80006,11432
b_562,806,10535,1,POLITEAMA,8061,FE_merged_80006,10535_merged_87412
a_631,88,12128,0,PUNTA MATESE,880,FE_merged_80004,12128_merged_81734
a_483,625,,1,STADIO,6251,FE_merged_80004,21508
b_626,87,22829,1,MONDELLO (TORRE),871,FR_merged_80005,22829_merged_89107
a_770,224P,4093,0,STAZIONE CENTRALE,224P0,FR_merged_80003,4093_merged_85950
a_159,118,3127,0,STAZ. NOTARBARTOLO,1180,FR_merged_80003,3127_merged_86175
b_26,101,510,0,STAZIONE CENTRALE,1010,FR_merged_80005,510_merged_89028
b_606,84,,0,VALDESI,840,FR_merged_80005,11548
a_138,109,2676,0,STAZIONE CENTRALE,1090,FE_merged_80004,2676_merged_83285
a_283,243,5447,0,BONAGIA,2430,FR_merged_80003,5447_merged_83348
b_222,226,17416,1,VIALE DEI PICCIOTTI,2261,FR_merged_80005,17416_merged_91145
b_346,380,,1,PARCHEGGIO BASILE,3801,FE_merged_80006,19556
a_293,246,5637,0,STAZIONE CENTRALE,2460,FE_merged_80004,5637_merged_86737
b_307,307,,0,BORGO NUOVO,3070,FE_merged_80006,5982
b_160,118,,1,PARCHEGGIO BASILE,1181,FR_merged_80005,16420
b_660,EXPR,12694,0,INDIPENDENZA,EXPR0,FE_merged_80006,12694_merged_88941
b_28,101,555,1,STADIO,1011,FR_merged_80005,555_merged_88535
a_127,108,2496,0,POLITEAMA,1080,FE_merged_80004,2496_merged_86685
